127.0.0.1 - - [22/May/2020:11:48:25 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/May/2020:11:48:32 +0530] "GET /Servlet/ HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [22/May/2020:11:48:32 +0530] "GET /Servlet/css/style.css HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [22/May/2020:11:48:32 +0530] "GET /Servlet/image/bg.jpg HTTP/1.1" 200 71345
0:0:0:0:0:0:0:1 - - [22/May/2020:11:48:56 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:49:03 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:49:39 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:50:44 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:51:54 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:53:49 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:54:37 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:54:50 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:11:55:13 +0530] "GET /Servlet/edit?id=9&actionEdit=edit HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [22/May/2020:11:55:21 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:12:24:07 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:12:24:09 +0530] "GET /Servlet/edit?id=9&actionEdit=edit HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [22/May/2020:12:24:37 +0530] "GET /Servlet/edit?id=9&actionEdit=edit HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [22/May/2020:12:24:53 +0530] "GET /Servlet/edit?id=9&actionEdit=edit HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [22/May/2020:12:24:55 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:12:24:56 +0530] "GET /Servlet/edit?id=6&actionEdit=edit HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [22/May/2020:12:34:13 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:12:34:15 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:13:45:38 +0530] "GET /Servlet/service HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [22/May/2020:13:45:48 +0530] "GET /Servlet/service HTTP/1.1" 200 184
